id,date,customer_name,item_id,item_name,item_quantity,item_unit,total_amount
4138545000010205001,2025-08-16,jun,4138545000001035081,Bare Aluminum Flat Wire 3/8,52.7,kg,17391.0
4138545000010205001,2025-08-16,jun,4138545000001035068,BOX of Bare Aluminum Flat Wire 3/8,1.0,pcs,0.0
4138545000010205001,2025-08-16,jun,4138545000002006233,Fuse Cut Out (Porcelain),6.0,pcs,12600.0
4138545000010203137,2025-08-16,Brando,4138545000000076782,Enameled Round Wire #11,64.9,kg,27907.0
4138545000010203137,2025-08-16,Brando,4138545000008502129,Wooden Spool #11,1.0,pcs,0.0
4138545000010200001,2025-08-16,Charls Electrical,4138545000000076773,Enameled Round Wire #10,22.9,kg,9847.0
4138545000010200001,2025-08-16,Charls Electrical,4138545000000077106,BOX for Aluminum Round Wire Enamel - #10,1.0,pcs,0.0
4138545000010199025,2025-08-16,Brando,4138545000000076935,Primary Bushing 15 KVA,12.0,pcs,12600.0
4138545000010199025,2025-08-16,Brando,4138545000000427001,Secondary Bushing Single Eye 1.2KV/625A,9.0,pcs,18000.0
4138545000010199001,2025-08-16,Reycoretech Electrical Services,4138545000000076872,Fiberglass Coated Flat Wire 1/2,205.1,kg,82040.0
4138545000010199001,2025-08-16,Reycoretech Electrical Services,4138545000000077205,BOX for FIBERGLASS Flat Wire - 1/2,4.0,pcs,0.0
4138545000010199001,2025-08-16,Reycoretech Electrical Services,4138545000002146021,Dog BONE 3/8,10.0,,2200.0
4138545000010199001,2025-08-16,Reycoretech Electrical Services,4138545000002026187,Dog Bone 1/4,10.0,,1350.0
4138545000010198001,2025-08-16,Nestor,4138545000000076980,Diamond Dotted Paper 010,63.0,kg,22050.0
4138545000010198001,2025-08-16,Nestor,4138545000000085028,BOX of DDP 010,1.0,,0.0
4138545000010198001,2025-08-16,Nestor,4138545000000076944,Pressed Board 1/16,10.0,pcs,8500.0
4138545000010196001,2025-08-15,Maximum Sports Services and General Merchandise,4138545000000170109,Cotton Tape,3.0,pcs,150.0
4138545000010196001,2025-08-15,Maximum Sports Services and General Merchandise,4138545000000076926,Fiberglass Tape,5.0,pcs,300.0
4138545000010186533,2025-08-19,I-Core Enterprises,4138545000000076944,Pressed Board 1/16,200.0,pcs,140000.0
4138545000010186453,2025-08-22,Krista-Camille Enterprises,4138545000000076944,Pressed Board 1/16,200.0,pcs,140000.0
4138545000010186425,2025-08-15,Wescor Transformer Corporation,4138545000000076944,Pressed Board 1/16,3.0,pcs,2550.0
4138545000010186425,2025-08-15,Wescor Transformer Corporation,4138545000000076962,Pressed Board 1/8,2.0,pcs,2900.0
4138545000010186425,2025-08-15,Wescor Transformer Corporation,4138545000003447001,Dog Bone 1/2,15.0,pcs,3975.0
4138545000010186425,2025-08-15,Wescor Transformer Corporation,4138545000002146021,Dog BONE 3/8,10.0,,2200.0
4138545000010186425,2025-08-15,Wescor Transformer Corporation,4138545000000357019,Body Ground,6.0,pcs,1200.0
